Curso	Ano	Matriculados
ADMINISTRACAO	2010	1337
ADMINISTRACAO	2010	1344
ADMINISTRACAO_EAD	2010	345
ADMINISTRACAO_EAD	2010	345
AGRONOMIA	2010	428
AGRONOMIA	2010	441
ARQUITETURA_E_URBANISMO	2010	557
ARQUITETURA_E_URBANISMO	2010	563
ARQUIVOLOGIA	2010	127
ARQUIVOLOGIA	2010	134
ARTES_VISUAIS	2010	407
ARTES_VISUAIS	2010	498
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2010	86
ARTES_VISUAIS_ENSINO_A_DISTANCIA_EAD	2010	90
BIBLIOTECONOMIA	2010	352
BIBLIOTECONOMIA	2010	371
BIOMEDICINA	2010	122
BIOMEDICINA	2010	126
BIOTECNOLOGIA	2010	28
BIOTECNOLOGIA	2010	29
CIENCIA_DA_COMPUTACAO	2010	494
CIENCIA_DA_COMPUTACAO	2010	525
CIENCIAS_ATUARIAIS	2010	150
CIENCIAS_ATUARIAIS	2010	163
CIENCIAS_BIOLOGICAS	2010	495
CIENCIAS_BIOLOGICAS	2010	505
CIENCIAS_BIOLOGICAS_CECLIMAR	2010	63
CIENCIAS_BIOLOGICAS_CECLIMAR	2010	82
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2010	22
CIENCIAS_BIOLOGICAS_ENSINO_A_DISTANCIA_EAD	2010	24
CIENCIAS_CONTABEIS	2010	630
CIENCIAS_CONTABEIS	2010	641
CIENCIAS_ECONOMICAS	2010	707
CIENCIAS_ECONOMICAS	2010	711
CIENCIAS_JURIDICAS_E_SOCIAIS	2010	734
CIENCIAS_JURIDICAS_E_SOCIAIS	2010	753
CIENCIAS_SOCIAIS	2010	796
CIENCIAS_SOCIAIS	2010	902
COMUNICACAO_SOCIAL	2010	703
COMUNICACAO_SOCIAL	2010	721
DANCA	2010	42
DANCA	2010	52
DESIGN	2010	161
DESIGN	2010	167
DESIGN_DE_PRODUTO	2010	15
DESIGN_DE_PRODUTO	2010	21
DESIGN_VISUAL	2010	19
DESIGN_VISUAL	2010	28
EDUCACAO_FISICA	2010	710
EDUCACAO_FISICA	2010	722
ENFERMAGEM	2010	429
ENFERMAGEM	2010	430
ENGENHARIA_AMBIENTAL	2010	131
ENGENHARIA_AMBIENTAL	2010	136
ENGENHARIA_CARTOGRAFICA	2010	134
ENGENHARIA_CARTOGRAFICA	2010	158
ENGENHARIA_CIVIL	2010	869
ENGENHARIA_CIVIL	2010	886
ENGENHARIA_DE_ALIMENTOS	2010	153
ENGENHARIA_DE_ALIMENTOS	2010	158
ENGENHARIA_DE_COMPUTACAO	2010	215
ENGENHARIA_DE_COMPUTACAO	2010	221
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2010	77
ENGENHARIA_DE_CONTROLE_E_AUTOMACAO	2010	79
ENGENHARIA_DE_ENERGIA	2010	23
ENGENHARIA_DE_ENERGIA	2010	29
ENGENHARIA_DE_MATERIAIS	2010	152
ENGENHARIA_DE_MATERIAIS	2010	167
ENGENHARIA_DE_MINAS	2010	136
ENGENHARIA_DE_MINAS	2010	156
ENGENHARIA_DE_PRODUCAO	2010	314
ENGENHARIA_DE_PRODUCAO	2010	318
ENGENHARIA_ELETRICA	2010	500
ENGENHARIA_ELETRICA	2010	503
ENGENHARIA_FISICA	2010	26
ENGENHARIA_FISICA	2010	29
ENGENHARIA_MECANICA	2010	665
ENGENHARIA_MECANICA	2010	677
ENGENHARIA_METALURGICA	2010	246
ENGENHARIA_METALURGICA	2010	267
ENGENHARIA_QUIMICA	2010	421
ENGENHARIA_QUIMICA	2010	421
ESTATISTICA	2010	167
ESTATISTICA	2010	193
FARMACIA	2010	691
FARMACIA	2010	710
FILOSOFIA	2010	218
FILOSOFIA	2010	251
FISICA	2010	486
FISICA	2010	511
FISIOTERAPIA	2010	55
FISIOTERAPIA	2010	58
FONOAUDIOLOGIA	2010	77
FONOAUDIOLOGIA	2010	81
GEOGRAFIA	2010	355
GEOGRAFIA	2010	359
GEOLOGIA	2010	224
GEOLOGIA	2010	228
HISTORIA	2010	501
HISTORIA	2010	521
HISTORIA_DA_ARTE	2010	25
HISTORIA_DA_ARTE	2010	29
JORNALISMO	2010	5
JORNALISMO	2010	7
LETRAS	2010	973
LETRAS	2010	1099
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2010	40
LETRAS_INGLES_ENSINO_A_DISTANCIA_EAD	2010	61
MATEMATICA	2010	483
MATEMATICA	2010	523
